Date,Recurring,New,Total,Retained3,RetainedAll
2024-01-19,16,3,19,15,17
2024-02-02,14,2,16,13,14
2024-02-16,11,7,18,12,13
2024-03-01,19,1,20,19,19
2024-03-15,20,6,26,17,20
2024-03-29,14,0,14,12,13
2024-04-12,12,1,13,10,11
2024-04-13,12,1,13,9,12
2024-04-26,15,0,15,14,15
2024-05-10,15,3,18,9,12
2024-05-24,9,0,9,7,8
2024-06-07,9,0,9,8,8
2024-06-21,12,0,12,7,9
2024-07-05,6,0,6,5,5
2024-07-19,10,0,10,9,9
2024-09-27,5,4,9,6,6
2024-10-11,12,2,14,12,12
2024-10-25,12,1,13,10,10
2024-11-08,11,12,23,11,11
2024-11-22,10,0,10,7,7
2024-12-06,12,0,12,6,6
2024-12-20,10,1,11,0,0
2025-01-17,16,3,19,16,17
2025-01-31,16,3,19,16,16
2025-02-14,13,2,15,13,13
2025-02-28,16,4,20,9,15
2025-03-14,15,0,15,13,15
2025-03-28,14,0,14,14,14
2025-04-11,13,3,16,11,11
2025-04-25,18,0,18,14,14
2025-05-09,15,4,19,16,16
2025-05-23,26,3,29,23,23
2025-06-06,20,0,20,17,17
2025-06-20,15,4,19,10,10
2025-07-04,11,0,11,7,7
2025-07-05,16,8,24,0,0
