Date,Referral,People,Retained3,RetainedAll
2024-01-19,Word of mouth,2,0,1
2024-01-19,meetup.com,1,1,1
2024-02-02,Word of mouth,1,0,0
2024-02-02,meetup.com,1,0,1
2024-02-16,Word of mouth,3,0,1
2024-02-16,meetup.com,4,2,2
2024-03-01,meetup.com,1,0,0
2024-03-15,Internet search,1,0,0
2024-03-15,Through love,1,0,1
2024-03-15,Word of mouth,2,0,0
2024-03-15,meetup.com,2,0,0
2024-04-12,Word of mouth,1,0,0
2024-04-13,meetup.com,1,1,1
2024-05-10,Word of mouth,3,0,0
2024-09-27,Internet search,1,0,0
2024-09-27,Word of mouth,2,0,0
2024-09-27,meetup.com,1,1,1
2024-10-11,ACX newsletter,1,1,1
2024-10-11,Word of mouth,1,0,0
2024-10-25,ACX newsletter,1,0,0
2024-11-08,Unknown,3,0,0
2024-11-08,Word of mouth,3,1,1
2024-11-08,meetup.com,6,0,0
2024-12-20,Word of mouth,1,0,0
2025-01-17,Word of mouth,1,0,0
2025-01-17,meetup.com,2,2,2
2025-01-31,Unknown,1,0,0
2025-01-31,Word of mouth,1,0,0
2025-01-31,meetup.com,1,0,0
2025-02-14,meetup.com,2,0,0
2025-02-28,Word of mouth,3,0,0
2025-02-28,meetup.com,1,0,0
2025-04-11,Other,2,0,0
2025-04-11,Word of mouth,1,0,0
2025-05-09,Word of mouth,3,2,2
2025-05-09,meetup.com,1,1,1
2025-05-23,Word of mouth,2,0,0
2025-05-23,meetup.com,1,0,0
